Seed: 487771846
M = [0, 1, 3]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.8608842827, -0.8266667652)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.8266667652, -0.7903473377)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.8266667652, -0.7641075274)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.7641075274, -0.6697917097)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.7641075274, -0.6697917097)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.6697917097, -0.6522318597)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.6522318597, -0.64004928)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.64004928, -0.6117014654)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.6221538295, -0.6034106059)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.6034106059, -0.5893184269)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.5893184269, -0.5881940583)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.5873468552, -0.5782290882)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.5782290882, -0.5713789747)]
Matched - fs: [(-0.7232098641, -0.5658635391)] - da: [(-0.5782290882, -0.5471932417)]
M != Mz | [0, 3, 4] |fs: [(-0.5658635391, -0.0162373806)]
M != Mz | [0, 4, 3] |fs: [(-0.0162373806, 0.5234826408)]
M != Mz | [1, 0, 4] |fs: [(0.5234826408, 0.71871392)]
M != Mz | [1, 4, 3] |fs: [(0.71871392, 8.5467677436)]
M != Mz | [1, 0, 4] |fs: [(8.5467677436, 217.6024624708)]
Final interval: [(-20.1406101971, -3.2458142399), (-3.2450015712, -1.0998974316), (-1.0996397748, -0.5881940583), (-0.5873468552, -0.5658635391)]
0.20282999983586025

[Done] exited with code=0 in 35.001 seconds
