Seed: 202232327
M = [1, 4, 5, 0]
M != Mz | [0, 6, 3, 1] |fs: [(-3.59848207781246, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.59848207781246, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.59848207781246, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124638, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124633, -3.0940214235528827)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124638, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124638, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124633, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.598482077812462, -3.094021423552882)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124633, -3.094021423552883)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124615, -3.094021423552885)]
M != Mz | [0, 6, 3, 1] |fs: [(-3.5984820778124615, -3.094021423552885)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552885, -2.775798361943061)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552884, -2.7757983619430595)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.775798361943059)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.775798361943059)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.0940214235528862, -2.775798361943061)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.0940214235528853, -2.775798361943071)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.0940214235528862, -2.7757983619430644)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.0940214235528862, -2.7757983619430644)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552885, -2.7757983619430604)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552884, -2.7757983619430537)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552884, -2.7757983619430537)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.7757983619430187)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.7757983619430187)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.0940214235528836, -2.775798361943027)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.775798361943029)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552883, -2.775798361943029)]
M != Mz | [0, 1, 6, 5] |fs: [(-3.094021423552885, -2.7757983619430444)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430444, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430444, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430546, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430546, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430444, -1.4830335234093428)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430444, -1.4830335234093428)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943052, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943052, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943052, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943052, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943052, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430475, -1.4830335234093428)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943066, -1.483033523409342)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430644, -1.4830335234093437)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430644, -1.4830335234093437)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.7757983619430644, -1.4830335234093437)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943064, -1.4830335234093426)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943064, -1.4830335234093426)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943064, -1.4830335234093426)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943056, -1.483033523409343)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943067, -1.4830335234093432)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943067, -1.4830335234093432)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943057, -1.4830335234093435)]
M != Mz | [0, 1, 5, 6] |fs: [(-2.775798361943057, -1.4830335234093435)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093435, -1.0114024994598676)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093435, -1.0114024994598676)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093435, -1.0114024994598674)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093435, -1.0114024994598674)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093437, -1.0114024994598674)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093424, -1.0114024994598674)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093428, -1.0114024994598678)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093428, -1.0114024994598678)]
M != Mz | [0, 1, 4, 6] |fs: [(-1.4830335234093428, -1.0114024994598678)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598678, -0.5447151466124777)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598674, -0.5447151466124776)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598672, -0.5447151466124776)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124778)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124776)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.5447151466124774)]
M != Mz | [1, 0, 4, 6] |fs: [(-1.0114024994598676, -0.544715146612478)]
M != Mz | [1, 4, 2, 6] |fs: [(-0.544715146612478, -0.3250843737331545)]
M != Mz | [1, 4, 2, 6] |fs: [(-0.5447151466124779, -0.32508437373315385)]
M != Mz | [1, 4, 2, 6] |fs: [(-0.5447151466124774, -0.32508437373315513)]
M != Mz | [1, 4, 2, 6] |fs: [(-0.5447151466124777, -0.32508437373315413)]
M != Mz | [1, 4, 2, 6] |fs: [(-0.5447151466124777, -0.32508437373315413)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.32508437373315413, -0.07318409302060852)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.3250843737331558, -0.07318409302060846)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.3250843737331558, -0.07318409302060846)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.3250843737331558, -0.07318409302060846)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.3250843737331558, -0.07318409302060846)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.32508437373315424, -0.07318409302060798)]
M != Mz | [1, 4, 2, 3] |fs: [(-0.32508437373315424, -0.07318409302060798)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060798, 0.5575361293995186)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060822, 0.5575361293995186)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060895, 0.557536129399518)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060895, 0.557536129399518)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060888, 0.5575361293995192)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060956, 0.5575361293995178)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060956, 0.5575361293995178)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060962, 0.5575361293995179)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060962, 0.5575361293995179)]
M != Mz | [1, 4, 5, 6] |fs: [(-0.07318409302060962, 0.5575361293995179)]
0.5585361293995179
0.6614141767822822
0.6652794408776148
0.6812886887369033
0.7086500535872868
0.8719477060004559
0.9815946086550226
1.036907391816234
1.1157662658336884
1.1246703193178602
1.137319395188007
1.1710684484323
1.231131559197957
1.3675544671090705
1.584400242510598
1.5896689866473945
1.6344844742876192
1.6908106191055092
1.7216418977955243
1.7406116774970248
1.7710844265156116
1.7936508812327756
1.8195313526548216
1.8568025463550768
1.8578025463550767
1.9180453096160708
1.9307644632112395
1.9317644632112394
1.9948482600448607
2.0000470843014706
2.0518564079347246
2.0607997522420543
2.078776701059429
2.109482345114427
2.196050965699044
2.2194495406091894
2.2431125866651915
2.253923595729651
2.258017638453262
2.338277554182396
2.3534612307291334
2.3581933888336897
2.3678618853164974
2.3688618853164973
2.369861885316497
2.3802812986753192
2.3953652111984
